COPPER,PLATE,DIST,WORMS,AREA,COUNT
control,200,4,11.5,16,184
control,200,3,13,12,156
control,200,2,13.5,8,108
control,200,1,12,4,48
control,39,4,17.75,16,284
control,39,3,13.75,12,165
control,39,2,12.75,8,102
control,39,1,12.5,4,50
control,34,4,11.5,16,184
control,34,3,10.5,12,126
control,34,2,12,8,96
control,34,1,10.5,4,42
control,36,4,12,16,192
control,36,3,12,12,144
control,36,2,11.25,8,90
control,36,1,10,4,40
control,179,4,15,16,240
control,179,3,12.75,12,153
control,179,2,10.5,8,84
control,179,1,9.25,4,37
Week 2,204,4,8.75,16,140
Week 2,204,3,3,12,36
Week 2,204,2,1,8,8
Week 2,204,1,0,4,0
Week 2,57,4,6.5,16,104
Week 2,57,3,3.5,12,42
Week 2,57,2,2,8,16
Week 2,57,1,0,4,0
Week 2,16,4,8,16,128
Week 2,16,3,3.75,12,45
Week 2,16,2,0.5,8,4
Week 2,16,1,0,4,0
Week 2,181,4,8.75,16,140
Week 2,181,3,6,12,72
Week 2,181,2,0.75,8,6
Week 2,181,1,0.25,4,1
Week 2,63,4,7.25,16,116
Week 2,63,3,3.75,12,45
Week 2,63,2,3,8,24
Week 2,63,1,1,4,4
Week 1,178,4,9.5,16,152
Week 1,178,3,8.25,12,99
Week 1,178,2,7.75,8,62
Week 1,178,1,7.5,4,30
Week 1,61,4,9.25,16,148
Week 1,61,3,7,12,84
Week 1,61,2,6.5,8,52
Week 1,61,1,6.5,4,26
Week 1,21,4,12.5,16,200
Week 1,21,3,10.75,12,129
Week 1,21,2,7,8,56
Week 1,21,1,6.75,4,27
Week 1,199,4,8.25,16,132
Week 1,199,3,7.5,12,90
Week 1,199,2,10.5,8,84
Week 1,199,1,9.25,4,37
Week 1,12,4,10.5,16,168
Week 1,12,3,9,12,108
Week 1,12,2,10,8,80
Week 1,12,1,6.25,4,25
