MANAGEMENT,Belper,Empnig,Junbuf,Junart,Airpra,Elepal,Rumace,Viclat,Brarut,Ranfla,Cirarv,Hyprad,Leoaut,Potpal,Poapra,Calcus,Tripra,Trirep,Antodo,Salrep,Achmil,Poatri,Chealb,Elyrep,Sagpro,Plalan,Agrsto,Lolper,Alogen,Brohor
BF,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,5,0,0,3,7,0,4,0,0,0,5,2,4
SF,0,0,3,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,9,1,0,2,0,5,0,5,0
SF,2,0,0,0,0,0,0,0,2,0,2,0,2,0,4,0,0,1,0,0,0,5,0,4,5,0,8,5,2,3
SF,0,0,0,3,0,8,0,0,4,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,7,0,4,0
HF,0,0,0,0,0,0,6,0,6,0,0,0,3,0,3,0,5,5,3,0,2,4,0,0,0,5,0,6,0,0
SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,4,0,0,0,7,0,0
HF,0,0,0,4,0,4,0,0,2,2,0,0,3,0,4,0,0,2,0,0,0,4,0,0,2,0,4,4,5,0
HF,2,0,0,0,0,0,5,0,2,0,0,0,3,0,2,0,2,2,4,0,2,6,0,4,0,5,0,2,0,2
NM,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0
NM,0,0,0,3,0,5,0,0,4,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
BF,2,0,0,0,0,0,0,1,2,0,0,0,3,0,4,0,0,6,4,0,4,4,0,0,0,3,0,6,0,4
BF,0,0,0,0,0,0,0,2,4,0,0,2,5,0,4,0,0,3,0,0,0,0,0,0,2,3,0,7,0,0
HF,0,0,4,4,0,0,2,0,2,0,0,0,2,0,4,0,0,3,0,0,0,5,0,6,2,0,3,2,3,0
NM,2,0,0,0,0,0,0,1,6,0,0,0,5,0,3,0,0,2,0,3,0,0,0,0,0,3,0,2,0,0
SF,2,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,2,0,0,0,6,0,4,0,0,4,6,7,0
NM,0,0,0,4,0,4,0,0,4,4,0,0,2,0,0,3,0,0,0,5,0,0,0,0,0,0,5,0,0,0
NM,0,0,0,0,0,4,0,0,0,2,0,0,2,2,0,4,0,6,0,0,0,0,0,0,0,0,4,0,0,0
NM,0,2,0,0,3,0,0,0,3,0,0,5,6,0,0,0,0,2,4,3,0,0,0,0,3,0,0,0,0,0
SF,0,0,4,0,0,0,2,0,4,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,4,0,4,0,8,0
HF,0,0,2,0,0,0,3,0,2,0,0,0,3,0,4,0,2,2,2,0,2,5,0,0,0,5,0,6,0,2
