REEF,HABITAT,SECTOR,SCORE
09-357,C,North,4
09-357,C,North,4
09-357,F,North,4
09-357,F,North,4
09-357,U,North,4
09-366,C,North,3
09-366,L,North,3
09-368,C,North,3
09-368,C,North,3
09-368,L,North,3
09-358a,C,North,4
09-358a,C,North,4
09-358a,U,North,4
09-355,C,North,4
09-355,C,North,4
09-355,C,North,4
09-355,C,North,4
09-355,L,North,4
09-424,C,North,1
09-424,C,North,1
09-424,C,North,2
09-424,L,North,1
09-424,L,North,2
09-424,U,North,0
09-423,C,North,1
09-423,C,North,2
09-423,F,North,1
09-423,L,North,2
09-419a,C,North,4
09-419a,C,North,4
09-419a,C,North,3
09-419a,U,North,4
09-410,C,North,3
09-410,C,North,2
09-394,C,North,4
09-394,C,North,4
09-394,C,North,4
09-394,L,North,4
09-409,C,North,1
09-409,C,North,2
09-378,C,North,4
09-378,C,North,4
09-378,C,North,4
09-378,C,North,4
09-408,C,North,2
09-408,C,North,2
09-372,C,North,4
09-372,C,North,4
09-407,C,North,2
09-376,C,North,3
09-376,C,North,4
09-376,F,North,3
09-376,C,North,4
09-376,C,North,4
09-376,F,North,4
09-376,U,North,4
09-406,C,North,2
09-406,U,North,1
09-411,C,North,2
09-411,C,North,1
09-411,U,North,1
10-598a,C,North,2
10-598a,C,North,2
10-598a,F,North,1
10-598a,U,North,2
10-566a,C,North,2
10-566a,C,North,2
10-567,C,North,2
10-567,C,North,3
10-449,C,North,4
10-449,C,North,4
10-449,F,North,2
10-449,U,North,4
10-449,U,North,4
10-547b,C,North,4
10-547b,C,North,4
10-547b,L,North,4
10-547b,U,North,4
10-456a,C,North,4
10-456a,C,North,4
10-456a,C,North,4
10-456a,F,North,2
10-619,C,North,3
10-619,C,North,1
10-450,C,North,4
10-450,C,North,4
10-450,U,North,4
10-541,C,North,4
10-541,C,North,4
10-541,F,North,4
10-541,U,North,4
10-441,C,North,4
10-441,C,North,3
10-441,C,North,4
10-441,C,North,4
10-624,C,North,0
10-624,C,North,2
10-624,L,North,0
10-572,C,North,2
10-572,C,North,3
10-572,F,North,2
10-572,L,North,2
10-377,C,North,4
10-377,C,North,3
10-377,L,North,3
10-565,C,North,4
10-565,C,North,4
10-565,F,North,4
10-565,L,North,4
10-562,C,North,4
10-562,C,North,3
10-583,C,North,3
10-583,C,North,4
10-583,C,North,4
10-583,C,North,4
10-583,F,North,4
10-458b,C,North,4
10-458b,F,North,4
10-576,C,North,4
10-576,C,North,4
10-576,C,North,4
10-576,C,North,4
10-576,U,North,4
10-458,C,North,4
10-458,F,North,4
10-585,C,North,4
10-585,C,North,4
10-585,C,North,4
10-585,F,North,4
10-585,L,North,4
10-283b,C,North,4
10-283b,F,North,4
10-283b,U,North,4
10-582a,C,North,4
10-582a,C,North,4
10-582a,C,North,4
10-582a,U,North,4
10-575,C,North,4
10-575,C,North,4
10-575,C,North,4
10-575,C,North,4
10-575,C,North,4
10-575,F,North,4
10-302,C,North,4
10-302,C,North,4
10-302,U,North,4
10-503,F,North,1
10-503,F,North,2
10-503,L,North,1
09-380,C,North,2
09-380,C,North,2
09-380,F,North,2
10-303d,C,North,4
10-303d,C,North,4
09-304,C,North,4
09-304,C,North,4
09-304,F,North,4
09-304,U,North,4
09-304,U,North,4
10-347a,C,North,3
10-347a,C,North,4
10-347a,C,North,4
10-347a,F,North,4
10-347a,U,North,4
10-303,C,North,4
10-305,C,North,4
10-305,C,North,4
10-305,C,North,4
10-305,C,North,4
10-305,C,North,4
10-305,C,North,4
10-305,F,North,4
10-305,U,North,4
10-305,U,North,4
10-514,C,North,3
10-514,C,North,3
10-514,F,North,3
10-514,L,North,0
09-306,C,North,4
09-306,U,North,4
10-325,C,North,4
10-325,C,North,4
10-325,C,North,4
10-325,F,North,4
10-326,C,North,4
10-326,C,North,4
10-326,F,North,4
10-326,U,North,4
10-381,C,North,3
10-381,F,North,2
10-381,F,North,2
10-387,C,North,4
10-387,U,North,4
10-350,C,North,4
10-350,C,North,4
10-350,C,North,4
10-350,F,North,4
10-349,C,North,4
10-349,C,North,4
10-349,C,North,4
