Year,ReefID,ReefName,Long,Lat,DHW5k,Sector,SectorThree,SectorFour,Score,Habitat
2016,09-357,Mutacomai and Dagagota Reefs,143.197677,-9.285727,8.454476,North,North,FarNorth,4,C
2016,09-357,Mutacomai and Dagagota Reefs,143.197677,-9.285727,8.454476,North,North,FarNorth,4,C
2016,09-357,Mutacomai and Dagagota Reefs,143.197677,-9.285727,8.454476,North,North,FarNorth,4,F
2016,09-357,Mutacomai and Dagagota Reefs,143.197677,-9.285727,8.454476,North,North,FarNorth,4,F
2016,09-357,Mutacomai and Dagagota Reefs,143.197677,-9.285727,8.454476,North,North,FarNorth,4,U
2016,09-366,U/N Reef,143.3131916,-9.341446348,7.924551,North,North,FarNorth,3,C
2016,09-366,U/N Reef,143.3131916,-9.341446348,7.924551,North,North,FarNorth,3,L
2016,09-368,U/N Reef,143.3491634,-9.355145898,7.966181,North,North,FarNorth,3,C
2016,09-368,U/N Reef,143.3491634,-9.355145898,7.966181,North,North,FarNorth,3,C
2016,09-368,U/N Reef,143.3491634,-9.355145898,7.966181,North,North,FarNorth,3,L
2016,09-358a,Kokope Reef,143.196397,-9.355257,8.531778,North,North,FarNorth,4,C
2016,09-358a,Kokope Reef,143.196397,-9.355257,8.531778,North,North,FarNorth,4,C
2016,09-358a,Kokope Reef,143.196397,-9.355257,8.531778,North,North,FarNorth,4,U
2016,09-355,Wapa Reef,143.130404,-9.481016,9.280328,North,North,FarNorth,4,C
2016,09-355,Wapa Reef,143.130404,-9.481016,9.280328,North,North,FarNorth,4,C
2016,09-355,Wapa Reef,143.130404,-9.481016,9.280328,North,North,FarNorth,4,C
2016,09-355,Wapa Reef,143.130404,-9.481016,9.280328,North,North,FarNorth,4,C
2016,09-355,Wapa Reef,143.130404,-9.481016,9.280328,North,North,FarNorth,4,L
2016,09-424,Stephens (Ugar) Island,143.547044,-9.506308,3.735742,North,North,FarNorth,1,C
2016,09-424,Stephens (Ugar) Island,143.547044,-9.506308,3.735742,North,North,FarNorth,1,C
2016,09-424,Stephens (Ugar) Island,143.547044,-9.506308,3.735742,North,North,FarNorth,2,C
2016,09-424,Stephens (Ugar) Island,143.547044,-9.506308,3.735742,North,North,FarNorth,1,L
2016,09-424,Stephens (Ugar) Island,143.547044,-9.506308,3.735742,North,North,FarNorth,2,L
2016,09-424,Stephens (Ugar) Island,143.547044,-9.506308,3.735742,North,North,FarNorth,0,U
2016,09-423,U/N Reef,143.5140228,-9.551694989,3.296463,North,North,FarNorth,1,C
2016,09-423,U/N Reef,143.5140228,-9.551694989,3.296463,North,North,FarNorth,2,C
2016,09-423,U/N Reef,143.5140228,-9.551694989,3.296463,North,North,FarNorth,1,F
