C3,LAT,LONG,MAP,MAT,JJAMAP,DJFMAP
0.65,46.4,119.55,199,12.4,0.12,0.45
0.65,47.32,114.27,469,7.5,0.24,0.29
0.76,45.78,110.78,536,7.2,0.24,0.2
0.75,43.95,101.87,476,8.2,0.35,0.15
0.33,46.9,102.82,484,4.8,0.4,0.14
0.03,38.87,99.38,623,12,0.4,0.11
0,32.62,106.75,259,14.5,0.47,0.17
0.02,36.95,96.55,969,15.3,0.3,0.14
0.05,35.3,101.53,542,13.9,0.44,0.13
0.05,40.82,104.6,421,8.5,0.31,0.14
0.36,47.75,102.5,446,5.1,0.41,0.15
0,33.48,105.55,376,11.2,0.51,0.17
0.21,33.33,99.23,661,17.8,0.27,0.16
0.51,45.33,99.1,575,6.1,0.36,0.16
0.07,39.1,96.6,885,12.9,0.37,0.12
0.29,41.55,101.8,556,8.6,0.38,0.12
0.05,43.73,112.67,344,6.6,0.18,0.35
0.13,44.25,112.15,415,6,0.22,0.33
0,29.58,102.92,347,18.9,0.41,0.12
0.65,43.53,103.45,575,5.3,0.36,0.13
0,31.6,110.5,477,13.9,0.5,0.22
0.89,50.7,107.72,370,3.5,0.45,0.19
0.08,32.97,101.18,537,16.7,0.32,0.12
0.47,36.05,97.23,870,15.4,0.29,0.15
0,41.87,113.08,356,7.3,0.18,0.31
0,32,109.12,570,12.2,0.42,0.24
0.21,43.75,102.33,457,8.8,0.36,0.13
0.29,38.17,113.25,327,9.5,0.16,0.31
0.35,37.1,111.87,176,13.8,0.25,0.28
0.28,45.03,104.47,345,6.4,0.46,0.14
0.45,39.82,116.75,405,5.9,0.4,0.12
0.31,41.42,107.17,375,5.7,0.16,0.29
0.02,38.52,111.3,231,12.1,0.29,0.21
0.49,40.17,111.95,723,11.2,0.14,0.34
0.36,39.16,114.9,365,6.9,0.15,0.31
0.01,38.55,104.5,373,11.5,0.35,0.18
0,35.27,112.35,733,9.4,0.23,0.37
0,34.28,105.08,351,11.7,0.45,0.18
0.63,40.47,110.38,244,7.2,0.2,0.29
0.03,40.45,109.65,244,7.2,0.2,0.29
0.07,39.88,109.75,207,7.2,0.22,0.28
0.12,39.92,111.87,646,10,0.11,0.36
0.36,40.12,111.75,593,11,0.13,0.35
0.63,45.82,106.48,409,7.5,0.3,0.2
0.86,45.87,106.48,409,7.5,0.3,0.2
0.47,45.88,106.47,409,7.5,0.3,0.2
0.58,45.85,106.37,409,7.5,0.3,0.2
0.68,45.48,106,495,7.9,0.32,0.17
0.71,43.5,97,717,7.5,0.34,0.15
0.06,30.58,96.83,935,20.7,0.23,0.22
0.04,29,97,976,21.2,0.29,0.18
0.14,33.75,96,1011,17.7,0.23,0.19
0.06,31.33,97.17,823,19.5,0.2,0.21
0.34,39.66,109.83,207,7.2,0.22,0.28
0.31,40.08,110.25,321,6.5,0.19,0.35
0.21,40.5,110.83,418,5.9,0.2,0.38
0.69,40.58,110.75,418,5.9,0.2,0.38
0.48,40.5,110,270,6.9,0.21,0.27
0.02,38.5,113.25,327,9.5,0.16,0.31
0.08,38.5,113.25,327,9.5,0.16,0.31
0.11,30.25,98.33,841,20.1,0.23,0.22
0.11,40.33,115.75,332,7.8,0.12,0.4
0.23,41.12,105.28,421,3.9,0.29,0.18
0.18,41.25,104.82,527,7.4,0.28,0.16
0.05,42.07,105.12,430,9.5,0.27,0.16
0.19,49.87,97.5,512,2,0.42,0.12
0.48,47.75,96.62,611,4.2,0.39,0.16
0.02,36.83,116.08,169,17.1,0.28,0.32
0,36,117.83,180,15.1,0.1,0.49
0,36.67,116.25,117,18.1,0.21,0.39
0.07,38.75,97.62,789,12.9,0.34,0.13
0.31,45.4,93.2,892,6.6,0.35,0.15
0.72,52.13,106.63,352,2,0.46,0.14
